True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,PPP Pos. (Correct),PPP Pins (Correct),LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Label (After Moving Pos.),Replace w/ PPP Label,Cav. Map. LVR Label (After Moving Pos.),Replace w/ LVR Label
Mirror,mag,alpha,JP9,JPL2,S2M,P4,A,P19,"3,11",13,5,|7.6|,7.6,P19 - 3/11 | PT_b_alpha_X2M_P4,P19 - 3/11 | PT_b_alpha_S2M_P4,1 - J13 - 8/7 2c | PT_b_alpha_X2M_P4,13 - J13 - 8/7 2c | PT_b_alpha_S2M_P4
Mirror,mag,alpha,JP0,JPL0,S0S,P4,A,P19,"5,13",13,7,|7.6|,7.6,P19 - 5/13 | PT_b_alpha_X0S_P4,P19 - 5/13 | PT_b_alpha_S0S_P4,1 - J13 - 4/3 2c | PT_b_alpha_X0S_P4,13 - J13 - 4/3 2c | PT_b_alpha_S0S_P4
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP1,JPL0,S0M,P4,A,P25,"1,9",14,1,|7.6|,7.6,P25 - 1/9 | PT_b_beta_X0M_P4,P25 - 1/9 | PT_b_beta_S0M_P4,2 - J12 - 8/7 2c | PT_b_beta_X0M_P4,14 - J12 - 8/7 2c | PT_b_beta_S0M_P4
Mirror,mag,beta,JP5,JPL1,S1M,P4,A,P25,"2,10",14,2,|7.6|,7.6,P25 - 2/10 | PT_b_beta_X1M_P4,P25 - 2/10 | PT_b_beta_S1M_P4,2 - J12 - 6/5 2c | PT_b_beta_X1M_P4,14 - J12 - 6/5 2c | PT_b_beta_S1M_P4
Mirror,mag,beta,JP9,JPL2,S2M,P4,A,P25,"3,11",13,6,|7.6|,7.6,P25 - 3/11 | PT_b_beta_X2M_P4,P25 - 3/11 | PT_b_beta_S2M_P4,1 - J13 - 6/5 2c | PT_b_beta_X2M_P4,13 - J13 - 6/5 2c | PT_b_beta_S2M_P4
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP1,JPL0,S0M,P4,A,P31,"1,9",14,5,|7.6|,7.6,P31 - 1/9 | PT_b_gamma_X0M_P4,P31 - 1/9 | PT_b_gamma_S0M_P4,2 - J13 - 8/7 2c | PT_b_gamma_X0M_P4,14 - J13 - 8/7 2c | PT_b_gamma_S0M_P4
Mirror,mag,gamma,JP5,JPL1,S1M,P4,A,P31,"2,10",14,6,|7.6|,7.6,P31 - 2/10 | PT_b_gamma_X1M_P4,P31 - 2/10 | PT_b_gamma_S1M_P4,2 - J13 - 6/5 2c | PT_b_gamma_X1M_P4,14 - J13 - 6/5 2c | PT_b_gamma_S1M_P4
Mirror,mag,gamma,JP9,JPL2,S2M,P4,A,P31,"3,11",13,8,|7.6|,7.6,P31 - 3/11 | PT_b_gamma_X2M_P4,P31 - 3/11 | PT_b_gamma_S2M_P4,1 - J13 - 2/1 2c | PT_b_gamma_X2M_P4,13 - J13 - 2/1 2c | PT_b_gamma_S2M_P4
 , , , , , , , , , , , , , , , , , 
